month,level,temp_standard,season,color_code
4월,10단계,13.6,봄가을,#FEB24C
4월,11단계,13.7,봄가을,#FD8D3C
4월,12단계,13.7,봄가을,#FC4E2A
4월,13단계,13.7,봄가을,#E31A1C
4월,14단계,13.8,봄가을,#BD0026
4월,15단계,13.8,봄가을,#800026
5월,1단계,19.3,봄가을,#005A32
5월,2단계,20.1,봄가을,#238B45
5월,3단계,20.3,봄가을,#41AB5D
5월,4단계,20.4,봄가을,#74C476
5월,5단계,20.5,봄가을,#A1D99B
5월,6단계,20.6,봄가을,#C7E9C0
5월,7단계,20.6,봄가을,#E7F5B7
5월,8단계,20.7,봄가을,#FFEDA0
5월,9단계,20.8,봄가을,#FED976
5월,10단계,20.9,봄가을,#FEB24C
5월,11단계,21,봄가을,#FD8D3C
5월,12단계,21.1,봄가을,#FC4E2A
5월,13단계,21.14,봄가을,#E31A1C
5월,14단계,21.2,봄가을,#BD0026
5월,15단계,21.2,봄가을,#800026
6월,1단계,30.4,여름,#FFFFE5
6월,2단계,31.7,여름,#FFF7BC
6월,3단계,31.9,여름,#FEE391
6월,4단계,32,여름,#FEC44F
6월,5단계,32.1,여름,#FB9A29
6월,6단계,32.1,여름,#EC7014
6월,7단계,32.1,여름,#CC4C02
6월,8단계,32.1,여름,#993404
6월,9단계,32.1,여름,#980043
6월,10단계,32.1,여름,#DD1C77
6월,11단계,32.2,여름,#DF65B0
6월,12단계,32.2,여름,#C994C7
6월,13단계,32.2,여름,#78281F
6월,14단계,32.2,여름,#4A235A
6월,15단계,32.2,여름,#1B2631
7월,1단계,22.5,여름,#FFFFE5
7월,2단계,23.4,여름,#FFF7BC
7월,3단계,23.6,여름,#FEE391
7월,4단계,23.7,여름,#FEC44F
7월,5단계,23.8,여름,#FB9A29
7월,6단계,23.8,여름,#EC7014
7월,7단계,23.8,여름,#CC4C02
7월,8단계,23.9,여름,#993404
7월,9단계,23.9,여름,#980043
7월,10단계,24,여름,#DD1C77
7월,11단계,24,여름,#DF65B0
7월,12단계,24.1,여름,#C994C7
7월,13단계,24.1,여름,#78281F
7월,14단계,24.2,여름,#4A235A
7월,15단계,24.2,여름,#1B2631
8월,1단계,26.5,여름,#FFFFE5
8월,2단계,27.5,여름,#FFF7BC
8월,3단계,27.7,여름,#FEE391
8월,4단계,27.8,여름,#FEC44F
8월,5단계,27.9,여름,#FB9A29
8월,6단계,28,여름,#EC7014
8월,7단계,28,여름,#CC4C02
8월,8단계,28.1,여름,#993404
8월,9단계,28.2,여름,#980043
8월,10단계,28.3,여름,#DD1C77
8월,11단계,28.3,여름,#DF65B0
8월,12단계,28.4,여름,#C994C7
8월,13단계,28.5,여름,#78281F
8월,14단계,28.5,여름,#4A235A
8월,15단계,28.6,여름,#1B2631
9월,1단계,28.4,여름,#FFFFE5
9월,2단계,29,여름,#FFF7BC
9월,3단계,29.3,여름,#FEE391
9월,4단계,29.6,여름,#FEC44F
9월,5단계,29.8,여름,#FB9A29
9월,6단계,29.8,여름,#EC7014
9월,7단계,29.9,여름,#CC4C02
9월,8단계,30,여름,#993404
9월,9단계,30.1,여름,#980043
9월,10단계,30.1,여름,#DD1C77
9월,11단계,30.2,여름,#DF65B0
9월,12단계,30.3,여름,#C994C7
9월,13단계,30.34,여름,#78281F
9월,14단계,30.4,여름,#4A235A
9월,15단계,30.4,여름,#1B2631
10월,1단계,22.8,봄가을,#005A32
10월,2단계,24.4,봄가을,#238B45
10월,3단계,24.5,봄가을,#41AB5D
10월,4단계,24.6,봄가을,#74C476
10월,5단계,24.8,봄가을,#A1D99B
10월,6단계,24.8,봄가을,#C7E9C0
10월,7단계,24.8,봄가을,#E7F5B7
10월,8단계,24.9,봄가을,#FFEDA0
10월,9단계,24.9,봄가을,#FED976
10월,10단계,25,봄가을,#FEB24C
10월,11단계,25.1,봄가을,#FD8D3C
10월,12단계,25.1,봄가을,#FC4E2A
10월,13단계,25.2,봄가을,#E31A1C
10월,14단계,25.3,봄가을,#BD0026
10월,15단계,25.3,봄가을,#800026
11월,1단계,14.7,봄가을,#005A32
11월,2단계,15.4,봄가을,#238B45
11월,3단계,15.7,봄가을,#41AB5D
11월,4단계,15.8,봄가을,#74C476
11월,5단계,15.9,봄가을,#A1D99B
11월,6단계,15.9,봄가을,#C7E9C0
11월,7단계,16,봄가을,#E7F5B7
11월,8단계,16,봄가을,#FFEDA0
11월,9단계,16,봄가을,#FED976
11월,10단계,16,봄가을,#FEB24C
11월,11단계,16.1,봄가을,#FD8D3C
11월,12단계,16.1,봄가을,#FC4E2A
11월,13단계,16.14,봄가을,#E31A1C
11월,14단계,16.3,봄가을,#BD0026
11월,15단계,16.4,봄가을,#800026
12월,1단계,2.3,겨울,#0A2F5C
12월,2단계,3.4,겨울,#135091
12월,3단계,3.5,겨울,#1D70B8
12월,4단계,3.8,겨울,#45A2DE
12월,5단계,4,겨울,#70D1F7
12월,6단계,4.1,겨울,#A3E5F7
12월,7단계,4.1,겨울,#C2F2DB
12월,8단계,4.2,겨울,#91E0B3
12월,9단계,4.2,겨울,#56C786
12월,10단계,4.3,겨울,#2AAB5D
12월,11단계,4.3,겨울,#71C967
12월,12단계,4.4,겨울,#A6E278
12월,13단계,4.4,겨울,#DDF589
12월,14단계,4.41,겨울,#FFF79A
12월,15단계,4.5,겨울,#FFE473
